id,basisOfRecord,occurrenceID,recordedBy,eventDate,islandGroup,country,countryCode,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,identificationQualifier,scientificName,kingdom,family,taxonRank
plant-occurrences_raja-ampat_j-schrader_2020_211,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_211,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.514338,130.570002,WGS84,30,,Diospyros maritima Blume,Plantae,Ebenaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_212,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_212,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516795,130.570633,WGS84,30,,Diospyros maritima Blume,Plantae,Ebenaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_213,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_213,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.51154,130.562918,WGS84,30,,Exocarpos latifolius R.Br.,Plantae,Santalaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_214,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_214,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517444,130.574433,WGS84,30,,Planchonella obovata (R.Br.) Pierre,Plantae,Sapotaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_215,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_215,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.521507,130.580747,WGS84,30,,Ixora timorensis Decne.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_216,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_216,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.517399,130.584217,WGS84,30,,Gnetum gnemon L.,Plantae,Gnetaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_217,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_217,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516057,130.586318,WGS84,30,,Calophyllum vexans P.F.Stevens,Plantae,Clusiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_218,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_218,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516375,130.587596,WGS84,30,,Ixora timorensis Decne.,Plantae,Rubiaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_219,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_219,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516375,130.587596,WGS84,30,,Diospyros maritima Blume,Plantae,Ebenaceae,species
plant-occurrences_raja-ampat_j-schrader_2020_22,LivingSpecimen,plant-occurrences_raja-ampat_j-schrader_2020_22,Julian Schrader | Soetjipto Moeljono,2016-06-01/2018-01-30,Raja Ampat,Indonesia,ID,-0.516795,130.570633,WGS84,30,,Tarenna sambucina (G.Forst.) T.Durand ex Drake,Plantae,Rubiaceae,species
